,date,volume,total_price,open,high,low,close,spread,transactions_number
0,107/09/03,"34,510,555","8,901,193,266",259.00,260.00,256.50,257.00,+1.00,"11,442"
1,107/09/04,"41,455,615","10,654,493,061",258.50,259.50,255.50,257.50,+0.50,"9,069"
2,107/09/05,"52,706,459","13,833,360,422",260.00,264.50,259.00,264.00,+6.50,"16,421"
3,107/09/06,"39,779,488","10,467,251,488",268.00,268.00,261.00,261.00,-3.00,"11,996"
4,107/09/07,"44,746,728","11,753,033,262",263.00,264.00,260.50,264.00,+3.00,"15,015"
5,107/09/10,"62,851,599","16,669,866,076",266.50,266.50,262.50,264.50,+0.50,"15,504"
6,107/09/11,"44,981,276","11,709,484,991",263.00,263.50,258.00,260.00,-4.50,"14,768"
7,107/09/12,"38,415,965","9,987,682,900",261.00,262.00,258.00,260.50,+0.50,"12,104"
8,107/09/13,"37,959,180","9,721,989,110",260.00,260.00,253.50,255.00,-5.50,"14,987"
9,107/09/14,"40,034,219","10,379,404,959",257.00,261.50,257.00,261.00,+6.00,"15,690"
10,107/09/17,"25,041,358","6,483,537,091",262.50,262.50,257.00,258.00,-3.00,"10,710"
11,107/09/18,"34,381,152","8,771,502,830",256.50,257.00,254.00,254.50,-3.50,"11,097"
12,107/09/19,"69,978,711","18,074,954,749",258.00,260.00,257.00,258.00,+3.50,"14,056"
13,107/09/20,"35,577,071","9,225,009,310",261.50,261.50,257.50,260.00,+2.00,"9,444"
14,107/09/21,"36,500,974","9,510,363,894",261.50,261.50,258.00,261.50,+1.50,"10,159"
15,107/09/25,"24,978,062","6,552,894,296",261.50,264.00,260.50,263.50,+2.00,"10,082"
16,107/09/26,"25,061,115","6,577,367,245",263.00,263.50,261.00,263.50, 0.00,"7,007"
17,107/09/27,"38,495,371","10,185,827,315",264.00,266.00,262.00,265.00,+1.50,"11,536"
18,107/09/28,"39,645,486","10,412,455,506",266.00,266.00,260.00,262.50,-2.50,"13,060"
